Age (groups),Attrition,BusinessTravel,Department,Sum of DistanceFromHome (KM),Sum of Actual years at company,Sum of Age,EducationField,EducationLevelID,EmployeeID,Ethnicity,FirstName,Gender,Year,Quarter,Month,Day,JobRole,LastName,MaritalStatus,OverTime,Sum of Salary,Salary (grouping),State,Sum of StockOptionLevel,Sum of YearsAtCompany,Sum of YearsInMostRecentRole,Sum of YearsSinceLastPromotion,Sum of YearsWithCurrManager,DistanceFromHome (KM) (bins)
18 to 29,No,Frequent Traveller,Technology,16,5.1,26,Other,4,35D2-818A,White,Sonja,Female,2017,Qtr 4,November,24,Software Engineer,Crone,Married,Yes,62602,A- 20K to 70K,CA,0,5,2,3,2,12
18 to 29,No,Frequent Traveller,Technology,26,3.75,24,Other,4,6B5B-8080,Native Hawaiian,Maxie,Female,2019,Qtr 2,April,3,Software Engineer,Housego,Divorced,No,35885,A- 20K to 70K,CA,2,3,1,2,2,23
18 to 29,No,Frequent Traveller,Technology,37,3.64,21,Other,4,BD94-98E0,American Indian or Alaska Native,Darrin,Male,2019,Qtr 2,May,14,Software Engineer,Roo,Married,No,32679,A- 20K to 70K,CA,1,3,3,3,2,34
18 to 29,No,Frequent Traveller,Technology,15,6.7,25,Other,4,FC47-1953,Black or African American,Barby,Female,2016,Qtr 2,April,21,Data Scientist,Plaid,Married,No,31931,A- 20K to 70K,CA,1,6,1,1,3,12
18 to 29,No,No Travel,Human Resources,4,3.88,28,Economics,5,4A0E-3728,White,Nancy,Female,2019,Qtr 1,February,15,HR Executive,Summerton,Married,No,152909,C- 150K to 225K,IL,1,3,1,3,2,1
18 to 29,No,No Travel,Human Resources,4,1.48,27,Human Resources,3,2EB9-9D31,White,Cybill,Female,2021,Qtr 3,July,10,HR Executive,Mitkin,Married,No,78265,B- 70K to 150K,CA,1,1,1,1,1,1
18 to 29,No,No Travel,Human Resources,23,5.41,26,Human Resources,3,74B4-CB7A,White,Eddi,Non-Binary,2017,Qtr 3,August,3,HR Business Partner,Holywell,Single,Yes,240035,D- 225K to 300K,CA,0,5,5,5,3,23
18 to 29,No,No Travel,Human Resources,5,4.33,24,Human Resources,3,B375-26A9,Asian or Asian American,Teressa,Female,2018,Qtr 3,September,3,HR Executive,Attewell,Divorced,No,41745,A- 20K to 70K,NY,3,4,2,4,0,1
18 to 29,No,No Travel,Sales,18,5.36,26,Economics,2,5642-6F1E,White,Lisette,Non-Binary,2017,Qtr 3,August,22,Sales Executive,Govett,Single,No,65194,A- 20K to 70K,IL,0,5,3,4,5,12
18 to 29,No,No Travel,Sales,6,4.49,24,Economics,3,4938-402A,Black or African American,Gherardo,Male,2018,Qtr 3,July,5,Manager,Stratiff,Divorced,No,135407,B- 70K to 150K,CA,1,4,2,4,2,1
18 to 29,No,No Travel,Sales,3,4.56,24,Economics,3,D4BE-786C,White,Hurleigh,Male,2018,Qtr 2,June,11,Sales Executive,Pashenkov,Single,No,128634,B- 70K to 150K,NY,0,4,4,4,4,1
18 to 29,No,No Travel,Sales,43,1,21,Marketing,1,03D5-622D,White,Aurora,Female,2021,Qtr 4,December,31,Sales Executive,Whate,Married,Yes,54355,A- 20K to 70K,CA,1,1,0,1,1,34
18 to 29,No,No Travel,Sales,16,2.73,22,Marketing,1,138C-2AEA,White,Susannah,Female,2020,Qtr 2,April,10,Sales Representative,Gorioli,Divorced,No,27053,A- 20K to 70K,IL,3,2,0,2,2,12
18 to 29,No,No Travel,Sales,41,3.3,22,Marketing,1,B529-2745,White,Randall,Male,2019,Qtr 3,September,15,Sales Representative,Worswick,Single,No,27961,A- 20K to 70K,CA,0,3,0,1,0,34
18 to 29,No,No Travel,Sales,39,6.48,24,Marketing,2,6B20-FFDF,Mixed or multiple ethnic groups,Cloris,Female,2016,Qtr 3,July,9,Sales Executive,Orgee,Married,Yes,151986,C- 150K to 225K,CA,1,6,5,6,3,34
18 to 29,No,No Travel,Sales,10,3.08,23,Marketing,2,A42A-4000,White,Rusty,Male,2019,Qtr 4,December,3,Sales Executive,Rishbrook,Single,No,94417,B- 70K to 150K,NY,0,3,3,3,2,1
18 to 29,No,No Travel,Sales,5,6.98,26,Marketing,2,B24C-18BF,White,Timothy,Male,2016,Qtr 1,January,10,Sales Executive,Plewright,Married,No,93170,B- 70K to 150K,CA,1,6,3,6,1,1
18 to 29,No,No Travel,Sales,17,3.91,22,Marketing,3,2796-828F,Mixed or multiple ethnic groups,Bar,Male,2019,Qtr 1,February,2,Sales Executive,Dunphy,Married,No,58270,A- 20K to 70K,CA,1,3,1,1,1,12
18 to 29,No,No Travel,Sales,14,3.71,24,Marketing,3,3A96-07A5,Black or African American,Teena,Female,2019,Qtr 2,April,18,Sales Executive,Nassey,Divorced,Yes,52975,A- 20K to 70K,CA,1,3,1,3,3,12
18 to 29,No,No Travel,Sales,34,0.78,18,Marketing,3,6BC3-7371,White,Gussi,Female,2022,Qtr 1,March,21,Sales Executive,Rodrig,Single,No,49100,A- 20K to 70K,IL,0,0,0,0,0,34
18 to 29,No,No Travel,Sales,22,0.8,21,Marketing,3,7A23-F185,White,Ephraim,Male,2022,Qtr 1,March,14,Sales Executive,Biaggetti,Divorced,Yes,62828,A- 20K to 70K,CA,1,0,0,0,0,12
18 to 29,No,No Travel,Sales,25,3.32,21,Marketing,3,8DB6-5FC6,White,Madalena,Female,2019,Qtr 3,September,8,Sales Executive,Leneham,Married,No,69078,A- 20K to 70K,CA,1,3,3,3,3,23
18 to 29,No,No Travel,Sales,21,3.96,21,Marketing,3,E676-215C,White,Fiorenze,Female,2019,Qtr 1,January,14,Sales Executive,Arcase,Married,No,69402,A- 20K to 70K,CA,1,3,1,3,0,12
18 to 29,No,No Travel,Sales,35,6.91,25,Marketing,4,07AF-3631,White,Ignazio,Male,2016,Qtr 1,February,3,Sales Executive,Bendixen,Divorced,Yes,149519,B- 70K to 150K,NY,1,6,2,4,3,34
18 to 29,No,No Travel,Sales,30,3.13,24,Marketing,4,0FC3-2572,White,Bertie,Female,2019,Qtr 4,November,15,Sales Representative,Tarling,Divorced,No,28898,A- 20K to 70K,CA,2,3,0,1,0,23
18 to 29,No,No Travel,Sales,7,1.25,22,Marketing,4,1A9A-17A3,White,Fifi,Female,2021,Qtr 3,September,29,Sales Executive,Stabler,Married,No,46546,A- 20K to 70K,CA,1,1,0,1,1,1
18 to 29,No,No Travel,Sales,2,5.21,24,Marketing,4,5609-8585,American Indian or Alaska Native,Matthieu,Male,2017,Qtr 4,October,15,Sales Executive,Oulet,Single,No,64277,A- 20K to 70K,CA,0,5,4,4,5,1
18 to 29,No,No Travel,Sales,37,2.79,28,Marketing,4,6C7E-91CB,White,Jamie,Male,2020,Qtr 1,March,19,Sales Executive,Blazejewski,Single,No,95591,B- 70K to 150K,IL,0,2,2,2,2,34
18 to 29,No,No Travel,Sales,17,6.61,27,Marketing,4,9075-A294,Asian or Asian American,Colby,Male,2016,Qtr 2,May,23,Sales Executive,Yakebowitch,Married,No,71832,B- 70K to 150K,IL,1,6,6,6,1,12
18 to 29,No,No Travel,Sales,10,3.55,24,Marketing,4,9E8E-F2FF,Mixed or multiple ethnic groups,Dix,Female,2019,Qtr 2,June,15,Sales Executive,Presley,Married,No,65432,A- 20K to 70K,CA,0,3,1,2,0,1
18 to 29,No,No Travel,Sales,15,1.25,21,Marketing,4,E164-4C29,White,Venita,Female,2021,Qtr 3,September,30,Sales Executive,Rottery,Married,No,76482,B- 70K to 150K,CA,1,1,1,1,0,12
18 to 29,No,No Travel,Sales,2,7.99,27,Other,3,9BD6-2C43,Black or African American,Wallas,Non-Binary,2015,Qtr 1,January,6,Sales Executive,Crinage,Divorced,No,92022,B- 70K to 150K,CA,1,7,7,7,0,1
18 to 29,No,No Travel,Sales,8,5.8,26,Technical Degree,2,B268-1642,White,Katerine,Female,2017,Qtr 1,March,14,Sales Executive,Maffione,Married,Yes,61686,A- 20K to 70K,IL,1,5,0,0,1,1
18 to 29,No,No Travel,Sales,14,3.91,22,Technical Degree,3,0A4E-1A4A,Mixed or multiple ethnic groups,Aloysius,Male,2019,Qtr 1,February,4,Sales Executive,Holdren,Single,Yes,53014,A- 20K to 70K,CA,0,3,3,3,0,12
18 to 29,No,No Travel,Sales,38,1.08,19,Technical Degree,4,0375-2F04,White,Lani,Female,2021,Qtr 4,November,30,Sales Executive,Raddenbury,Single,No,51673,A- 20K to 70K,IL,2,1,0,1,0,34
18 to 29,No,No Travel,Technology,20,0.87,21,Business Studies,1,ECDA-E9F0,White,Conway,Male,2022,Qtr 1,February,18,Machine Learning Engineer,Huntall,Married,No,55170,A- 20K to 70K,CA,1,0,0,0,0,12
18 to 29,No,No Travel,Technology,34,7.91,27,Business Studies,2,296A-A685,Asian or Asian American,Dina,Female,2015,Qtr 1,February,3,Data Scientist,Paice,Single,No,30783,A- 20K to 70K,CA,0,7,7,7,2,34
18 to 29,No,No Travel,Technology,20,7.55,26,Business Studies,3,278C-D482,Mixed or multiple ethnic groups,Flora,Female,2015,Qtr 2,June,15,Software Engineer,Flounders,Divorced,No,28751,A- 20K to 70K,NY,2,7,6,6,2,12
18 to 29,No,No Travel,Technology,4,7.51,28,Business Studies,3,95CB-4E31,Asian or Asian American,Pavlov,Male,2015,Qtr 2,June,30,Software Engineer,Pretor,Divorced,No,57837,A- 20K to 70K,CA,2,7,3,3,6,1
18 to 29,No,No Travel,Technology,27,5.84,25,Business Studies,4,1BAE-4DA1,Mixed or multiple ethnic groups,Jessalin,Female,2017,Qtr 1,March,1,Software Engineer,Macrow,Married,No,28288,A- 20K to 70K,NY,2,5,5,5,0,23
18 to 29,No,No Travel,Technology,13,0.04,20,Business Studies,4,324B-F4DF,Black or African American,Hestia,Female,2022,Qtr 4,December,18,Software Engineer,Fishlee,Married,No,42097,A- 20K to 70K,CA,1,0,0,0,0,12
18 to 29,No,No Travel,Technology,36,7.04,27,Business Studies,4,6125-FEC8,Native Hawaiian,Myrtie,Non-Binary,2015,Qtr 4,December,20,Software Engineer,Corbie,Married,No,50046,A- 20K to 70K,CA,1,7,1,6,2,34
18 to 29,No,No Travel,Technology,25,3.64,22,Business Studies,4,D061-5CAD,White,Bengt,Male,2019,Qtr 2,May,13,Software Engineer,Smythin,Single,No,31386,A- 20K to 70K,CA,0,3,2,2,1,23
18 to 29,No,No Travel,Technology,12,7.42,27,Computer Science,1,F961-5A03,White,Alejandrina,Female,2015,Qtr 3,July,31,Machine Learning Engineer,Pea,Single,No,105398,B- 70K to 150K,CA,0,7,1,7,4,12
18 to 29,No,No Travel,Technology,8,1.02,19,Computer Science,2,37DA-C03F,White,Wanids,Female,2021,Qtr 4,December,22,Software Engineer,Riggert,Single,No,54502,A- 20K to 70K,CA,1,1,0,1,1,1
18 to 29,No,No Travel,Technology,32,3.49,22,Computer Science,2,494B-7047,White,Nicolina,Non-Binary,2019,Qtr 3,July,5,Software Engineer,Cordelle,Single,No,38358,A- 20K to 70K,NY,0,3,2,2,3,23
18 to 29,No,No Travel,Technology,44,10.88,28,Computer Science,2,5468-EEE1,White,Forbes,Male,2012,Qtr 1,February,17,Senior Software Engineer,Toretta,Married,No,218406,C- 150K to 225K,NY,1,10,10,10,10,34
18 to 29,No,No Travel,Technology,10,2.84,26,Computer Science,2,666A-B076,White,Huberto,Male,2020,Qtr 1,February,28,Software Engineer,Coppins,Single,No,62828,A- 20K to 70K,NY,0,2,0,2,1,1
18 to 29,No,No Travel,Technology,30,5.58,25,Computer Science,2,6925-864E,White,Lilith,Female,2017,Qtr 2,June,2,Senior Software Engineer,Cargen,Divorced,No,43644,A- 20K to 70K,CA,2,5,3,3,5,23
18 to 29,No,No Travel,Technology,28,0,20,Computer Science,2,84D4-D4C3,Black or African American,Naoma,Female,2022,Qtr 4,December,31,Data Scientist,Hebbard,Married,No,38258,A- 20K to 70K,CA,0,0,0,0,0,23
18 to 29,No,No Travel,Technology,19,1.32,21,Computer Science,2,A81C-AB62,White,Max,Male,2021,Qtr 3,September,5,Senior Software Engineer,Aronstein,Divorced,Yes,36012,A- 20K to 70K,NY,0,1,1,1,1,12
18 to 29,No,No Travel,Technology,25,3.57,24,Computer Science,2,FADC-21F2,White,Barbra,Female,2019,Qtr 2,June,8,Data Scientist,Lanceter,Married,Yes,40342,A- 20K to 70K,CA,1,3,2,3,1,23
18 to 29,No,No Travel,Technology,11,1.13,20,Computer Science,3,054A-0B94,White,Temp,Male,2021,Qtr 4,November,14,Data Scientist,Weyland,Married,No,26702,A- 20K to 70K,IL,2,1,1,1,0,1
18 to 29,No,No Travel,Technology,42,3.83,21,Computer Science,3,4236-4F51,White,Nico,Male,2019,Qtr 1,March,5,Data Scientist,Playden,Married,No,57118,A- 20K to 70K,CA,3,3,1,3,0,34
18 to 29,No,No Travel,Technology,11,4.64,25,Computer Science,3,4C99-E626,Black or African American,Friederike,Female,2018,Qtr 2,May,14,Data Scientist,Wandrey,Single,No,96779,B- 70K to 150K,CA,0,4,0,0,3,1
18 to 29,No,No Travel,Technology,43,4.8,25,Computer Science,3,6CC9-81FC,White,Anatollo,Male,2018,Qtr 1,March,15,Data Scientist,Dake,Single,No,33086,A- 20K to 70K,CA,0,4,4,4,2,34
18 to 29,No,No Travel,Technology,18,3.39,24,Computer Science,3,7B96-B655,Mixed or multiple ethnic groups,Jonah,Male,2019,Qtr 3,August,11,Data Scientist,Chatwood,Divorced,No,104807,B- 70K to 150K,NY,1,3,0,0,1,12
18 to 29,No,No Travel,Technology,25,6.09,27,Computer Science,3,8F38-A4DD,White,Rosemonde,Female,2016,Qtr 4,November,29,Software Engineer,Brimble,Single,No,27369,A- 20K to 70K,CA,0,6,4,6,3,23
18 to 29,No,No Travel,Technology,30,7.86,28,Computer Science,3,93B1-6510,White,Giraldo,Male,2015,Qtr 1,February,23,Data Scientist,Matyashev,Single,No,52930,A- 20K to 70K,CA,0,7,1,4,2,23
18 to 29,No,No Travel,Technology,21,6.66,26,Computer Science,3,B967-D6D3,White,Kimmy,Female,2016,Qtr 2,May,4,Data Scientist,O'Logan,Married,No,26919,A- 20K to 70K,CA,1,6,0,5,3,12
18 to 29,No,No Travel,Technology,43,9.46,28,Computer Science,3,CD0F-DE05,White,Prudence,Female,2013,Qtr 3,July,18,Software Engineer,Cockrell,Single,No,50175,A- 20K to 70K,CA,0,9,9,9,3,34
18 to 29,No,No Travel,Technology,26,5.59,24,Computer Science,4,4FCD-7D65,Asian or Asian American,Frannie,Female,2017,Qtr 2,May,30,Senior Software Engineer,Dunrige,Divorced,Yes,77358,B- 70K to 150K,CA,1,5,0,0,4,23
18 to 29,No,No Travel,Technology,24,4.65,28,Computer Science,4,5F06-D3F6,White,Calv,Male,2018,Qtr 2,May,9,Machine Learning Engineer,Pearcehouse,Divorced,Yes,193347,C- 150K to 225K,NY,2,4,4,4,0,23
18 to 29,No,No Travel,Technology,29,4.75,25,Computer Science,4,6151-4A92,White,Milicent,Non-Binary,2018,Qtr 2,April,1,Machine Learning Engineer,Kiossel,Single,No,105411,B- 70K to 150K,CA,0,4,2,4,2,23
18 to 29,No,No Travel,Technology,42,3.62,24,Computer Science,4,6543-091E,White,Balduin,Male,2019,Qtr 2,May,20,Senior Software Engineer,Vonasek,Married,No,58717,A- 20K to 70K,CA,1,3,0,2,1,34
18 to 29,No,No Travel,Technology,24,4.5,23,Computer Science,4,AEEC-804D,Mixed or multiple ethnic groups,Vannie,Female,2018,Qtr 3,July,4,Senior Software Engineer,Kissell,Divorced,No,69325,A- 20K to 70K,NY,1,4,3,4,4,23
18 to 29,No,No Travel,Technology,24,6.98,25,Computer Science,4,BAB4-3AC8,Black or African American,Trudey,Female,2016,Qtr 1,January,8,Software Engineer,Doulton,Married,No,44146,A- 20K to 70K,IL,3,6,1,1,3,23
18 to 29,No,No Travel,Technology,12,8.64,29,Computer Science,4,DF71-97FB,White,Carlyle,Male,2014,Qtr 2,May,14,Data Scientist,Tinghill,Married,No,62756,A- 20K to 70K,IL,0,8,3,5,8,12
18 to 29,No,No Travel,Technology,26,7.26,28,Computer Science,5,ABB5-0B95,Mixed or multiple ethnic groups,Thomasine,Non-Binary,2015,Qtr 3,September,30,Data Scientist,Odell,Married,No,112175,B- 70K to 150K,CA,3,7,1,3,4,23
18 to 29,No,No Travel,Technology,13,3.77,22,Computer Science,5,E480-FF03,Mixed or multiple ethnic groups,Rod,Male,2019,Qtr 1,March,25,Senior Software Engineer,Durston,Married,No,68629,A- 20K to 70K,CA,1,3,1,1,0,12
18 to 29,No,No Travel,Technology,19,3.12,24,Information Systems,1,29AC-099C,White,Boy,Male,2019,Qtr 4,November,19,Engineering Manager,Greenall,Married,No,115110,B- 70K to 150K,NY,2,3,3,3,3,12
18 to 29,No,No Travel,Technology,8,6.71,27,Information Systems,1,D18F-8C48,Asian or Asian American,Feliza,Female,2016,Qtr 2,April,17,Engineering Manager,Jeschner,Divorced,No,152322,C- 150K to 225K,IL,1,6,0,5,4,1
18 to 29,No,No Travel,Technology,7,5.25,24,Information Systems,2,0626-7020,Black or African American,Ketti,Female,2017,Qtr 4,October,1,Senior Software Engineer,Carney,Married,Yes,126527,B- 70K to 150K,CA,1,5,1,5,3,1
18 to 29,No,No Travel,Technology,6,1.06,22,Information Systems,2,5C56-DA86,White,Basilius,Male,2021,Qtr 4,December,8,Machine Learning Engineer,MacAlpin,Single,Yes,68302,A- 20K to 70K,CA,0,1,1,1,0,1
18 to 29,No,No Travel,Technology,12,4.82,25,Information Systems,2,75CF-67E0,Black or African American,Andra,Female,2018,Qtr 1,March,6,Data Scientist,Stickney,Divorced,Yes,28926,A- 20K to 70K,NY,2,4,1,3,4,12
18 to 29,No,No Travel,Technology,19,4.51,25,Information Systems,2,8369-ED26,Asian or Asian American,Randie,Prefer Not To Say,2018,Qtr 2,June,30,Machine Learning Engineer,Tolliday,Divorced,No,83894,B- 70K to 150K,NY,1,4,2,2,3,12
18 to 29,No,No Travel,Technology,6,4.31,22,Information Systems,2,AD1C-2AC5,White,Phylys,Female,2018,Qtr 3,September,11,Data Scientist,Twede,Divorced,No,38169,A- 20K to 70K,CA,3,4,4,4,4,1
18 to 29,No,No Travel,Technology,4,0.82,18,Information Systems,3,3A0A-B70A,White,Matteo,Male,2022,Qtr 1,March,7,Software Engineer,Bonallack,Single,No,32191,A- 20K to 70K,CA,1,0,0,0,0,1
18 to 29,No,No Travel,Technology,7,1.05,22,Information Systems,3,4DE2-9EB3,White,Isacco,Non-Binary,2021,Qtr 4,December,13,Software Engineer,Origan,Married,No,27782,A- 20K to 70K,CA,3,1,1,1,1,1
18 to 29,No,No Travel,Technology,21,3.27,24,Information Systems,3,86E9-319B,White,Kirby,Male,2019,Qtr 3,September,23,Software Engineer,Denison,Single,No,26451,A- 20K to 70K,NY,0,3,1,1,3,12
18 to 29,No,No Travel,Technology,12,7.81,25,Information Systems,3,8F78-4A32,Black or African American,Sigismundo,Male,2015,Qtr 1,March,14,Data Scientist,Durtnel,Single,No,31962,A- 20K to 70K,NY,0,7,2,7,4,12
18 to 29,No,No Travel,Technology,12,7.14,27,Information Systems,3,9360-3A68,White,Cathyleen,Female,2015,Qtr 4,November,12,Data Scientist,Hallin,Single,No,41524,A- 20K to 70K,IL,0,7,6,6,6,12
18 to 29,No,No Travel,Technology,35,4.54,24,Information Systems,3,9591-C955,Asian or Asian American,Kaine,Male,2018,Qtr 2,June,17,Software Engineer,Haukey,Divorced,Yes,65838,A- 20K to 70K,CA,3,4,2,2,2,34
18 to 29,No,No Travel,Technology,20,0.84,21,Information Systems,3,B6B9-E5BE,White,Land,Male,2022,Qtr 1,February,27,Data Scientist,Brigge,Single,No,21454,A- 20K to 70K,CA,0,0,0,0,0,12
18 to 29,No,No Travel,Technology,12,0.5,20,Information Systems,3,D6AB-ED90,White,Pen,Female,2022,Qtr 3,July,3,Software Engineer,Glanister,Single,No,29329,A- 20K to 70K,CA,0,0,0,0,0,12
18 to 29,No,No Travel,Technology,29,5.37,24,Information Systems,4,3E50-011E,White,Carol,Female,2017,Qtr 3,August,18,Machine Learning Engineer,Burgill,Married,Yes,158330,C- 150K to 225K,CA,3,5,1,3,0,23
18 to 29,No,No Travel,Technology,45,7.25,28,Information Systems,4,5F4E-EE5A,Mixed or multiple ethnic groups,Mamie,Prefer Not To Say,2015,Qtr 4,October,2,Machine Learning Engineer,Neagle,Married,No,87762,B- 70K to 150K,IL,0,7,2,7,2,34
18 to 29,No,No Travel,Technology,44,4.19,25,Information Systems,4,6542-3E93,American Indian or Alaska Native,Kelley,Male,2018,Qtr 4,October,25,Machine Learning Engineer,Yakovl,Married,No,57765,A- 20K to 70K,CA,0,4,1,3,2,34
18 to 29,No,No Travel,Technology,32,6.65,25,Information Systems,4,757F-78FE,Mixed or multiple ethnic groups,Timotheus,Male,2016,Qtr 2,May,8,Machine Learning Engineer,Esland,Married,No,52614,A- 20K to 70K,NY,1,6,4,5,1,23
18 to 29,No,No Travel,Technology,18,7.4,26,Information Systems,4,8FF0-0F7A,Mixed or multiple ethnic groups,Nanine,Female,2015,Qtr 3,August,10,Engineering Manager,Barrie,Divorced,Yes,153420,C- 150K to 225K,CA,2,7,5,5,7,12
18 to 29,No,No Travel,Technology,21,7.33,27,Information Systems,4,C1B4-46B2,White,Hoebart,Male,2015,Qtr 3,September,2,Senior Software Engineer,Bennen,Divorced,No,73326,B- 70K to 150K,CA,1,7,0,5,0,12
18 to 29,No,No Travel,Technology,24,1.75,21,Information Systems,5,3F3F-E438,White,Kathleen,Female,2021,Qtr 2,April,2,Software Engineer,Wanjek,Married,Yes,53912,A- 20K to 70K,CA,2,1,1,1,0,23
18 to 29,No,No Travel,Technology,22,3.45,21,Other,2,68C4-272C,Black or African American,Torey,Female,2019,Qtr 3,July,19,Software Engineer,Emanueli,Married,Yes,25208,A- 20K to 70K,NY,0,3,0,0,1,12
18 to 29,No,No Travel,Technology,28,5.27,25,Other,4,0DC1-7EE4,White,Juliette,Female,2017,Qtr 3,September,23,Senior Software Engineer,Nissle,Single,Yes,68762,A- 20K to 70K,CA,0,5,3,5,4,23
18 to 29,No,Some Travel,Human Resources,33,1.15,21,Economics,2,5F99-4E0B,White,Marcos,Non-Binary,2021,Qtr 4,November,7,HR Executive,Bowcher,Divorced,Yes,70809,B- 70K to 150K,NY,1,1,0,0,1,23
18 to 29,No,Some Travel,Human Resources,22,7.59,25,Economics,2,74F3-DF3D,Black or African American,Lian,Female,2015,Qtr 2,May,30,HR Executive,Ouslem,Divorced,No,49131,A- 20K to 70K,NY,1,7,2,6,2,12
18 to 29,No,Some Travel,Human Resources,20,0.19,19,Economics,2,9C97-B634,White,Hyacinthie,Female,2022,Qtr 4,October,24,Recruiter,Diperaus,Single,No,21026,A- 20K to 70K,NY,0,0,0,0,0,12
18 to 29,No,Some Travel,Human Resources,41,2.53,21,Economics,2,D676-2084,White,Shannon,Male,2020,Qtr 2,June,20,Recruiter,Kuhnel,Single,No,20583,A- 20K to 70K,NY,0,2,0,1,0,34
18 to 29,No,Some Travel,Human Resources,18,0.61,19,Economics,4,14CF-051D,White,Prent,Male,2022,Qtr 2,May,24,Recruiter,Salkeld,Single,No,20778,A- 20K to 70K,NY,0,0,0,0,0,12
18 to 29,No,Some Travel,Human Resources,44,5.69,25,Economics,4,DD04-BDF8,Black or African American,Kile,Male,2017,Qtr 2,April,23,HR Executive,Notton,Married,No,132102,B- 70K to 150K,CA,1,5,5,5,0,34
18 to 29,No,Some Travel,Human Resources,39,5.18,23,Human Resources,2,1D32-9620,Other,Eldredge,Male,2017,Qtr 4,October,29,HR Executive,Probyn,Married,No,55805,A- 20K to 70K,CA,1,5,3,3,1,34
18 to 29,No,Some Travel,Human Resources,40,7.57,27,Human Resources,3,388D-DB68,White,Maybelle,Female,2015,Qtr 2,June,7,Recruiter,Hurler,Married,No,34320,A- 20K to 70K,CA,1,7,5,6,5,34
18 to 29,No,Some Travel,Human Resources,1,1.81,19,Human Resources,3,81C2-E188,White,Nada,Female,2021,Qtr 1,March,9,HR Executive,Finlator,Single,No,41958,A- 20K to 70K,CA,1,1,1,1,0,1
18 to 29,No,Some Travel,Human Resources,36,5.84,24,Human Resources,3,DD1E-583D,Mixed or multiple ethnic groups,Ashton,Male,2017,Qtr 1,March,2,Recruiter,Lauga,Married,No,29428,A- 20K to 70K,IL,0,5,5,5,0,34
18 to 29,No,Some Travel,Human Resources,31,2.13,28,Human Resources,3,EC4D-D0F3,White,Camilla,Female,2020,Qtr 4,November,12,HR Executive,Caistor,Married,No,96807,B- 70K to 150K,NY,1,2,1,2,0,23
18 to 29,No,Some Travel,Human Resources,41,0.46,29,Human Resources,3,F45B-1442,White,Eddy,Male,2022,Qtr 3,July,16,HR Executive,Dallaway,Married,Yes,142773,B- 70K to 150K,NY,0,0,0,0,0,34
18 to 29,No,Some Travel,Human Resources,5,7.94,26,Human Resources,4,6227-9D9E,Mixed or multiple ethnic groups,Malina,Female,2015,Qtr 1,January,25,HR Manager,Chivrall,Married,Yes,315071,Over 300K,CA,1,7,7,7,1,1
18 to 29,No,Some Travel,Human Resources,42,5.52,23,Marketing,1,FFCF-0BD5,Black or African American,Sky,Prefer Not To Say,2017,Qtr 2,June,25,Recruiter,Mattioni,Married,No,30683,A- 20K to 70K,CA,1,5,5,5,5,34
18 to 29,No,Some Travel,Human Resources,34,9.65,28,Marketing,2,4DA0-81D7,Asian or Asian American,Cole,Male,2013,Qtr 2,May,11,HR Executive,Vost,Single,No,94534,B- 70K to 150K,CA,0,9,3,3,1,34
18 to 29,No,Some Travel,Human Resources,4,0.7,27,Marketing,3,A409-0113,White,Aurthur,Male,2022,Qtr 2,April,20,HR Business Partner,Attoe,Single,Yes,219195,C- 150K to 225K,CA,1,0,0,0,0,1
18 to 29,No,Some Travel,Human Resources,22,0.32,18,Marketing,3,B140-AF36,White,Marjy,Female,2022,Qtr 3,September,4,Recruiter,Matveyev,Single,No,31024,A- 20K to 70K,CA,1,0,0,0,0,12
18 to 29,No,Some Travel,Human Resources,11,2.06,22,Marketing,3,CA1B-0302,White,Hestia,Female,2020,Qtr 4,December,10,Recruiter,Pickin,Married,No,26880,A- 20K to 70K,NY,0,2,2,2,1,1
